Zone,LatestAverageGini
United States of America,39.8
Sweden,29.8
Norway,27.7
NA,
Greece; Hungary; Finland; Spain; Italy; Norway; Sweden; Estonia,30.975
Argentina,40.7
Canada,31.7
Israel,37.9
UK,32.4
Austria; Netherlands; Sweden; Spain; Norway; Estonia; UK; Hungary; Lithuania; Greece; Czech Republic; Latvia,30.94166667
China,37.1
Netherlands,25.7
Uruguay,40.6
South Africa,63
Australia,34.3
"United States of America, Netherlands, France, UK, Australia, South Africa, Denmark, Canada, Brazil; Ireland; Mexico; New Zealand;",37.48181818
Finland,27.7
"United States of America, France",35.65
Germany,31.7
France,31.5
Brazil,52