start,end,reference
1990,2017,"Mutgan, S; Mijs, JJB, 2023"
1980,2018,"Wessel, T, 2022"
1990,2009,"Kang, S, 2016"
1991,2010,"Scarpa, S, 2015"
1990,2017,"Hu, X; Liang, CY, 2022"
1979,2012,"Levy, BL, 2022"
2002,2011,"Serna, MP; Mora, FG, 2017"
1940,2016,"Gordon, C; Bruch, SK, 2020"
2000,2015,"Manduca, R; Sampson, RJ, 2021"
2001,2019,"ViforJ, RO; Clark, WAV; Phelps, C, 2023"
2009,2013,"Lee, S, 2022"
1996,2012,"Chetty, R; Hendren, N, 2018"
1993,2011,"Wessel, T, 2016"
2004,2014,"Vaalavuo, M; van Ham, M; Kauppinen, TM, 2019"
2007,2016,"Winke, T, 2021"
1990,2005,"Pais, J; South, SJ; Crowder, K, 2012"
1999,2015,"Beaubrun-Diant, K; Maury, TP, 2022"
1990,1995,"Andersson, R; Hedman, L, 2016"
2005,2010,"Andersson, R; Hedman, L, 2016"
1979,2000,"Kearney, MS; Levine, PB, 2016"
1996,2000,"Kulkarni, N; Malmendier, U, 2022"
2006,2012,"Kulkarni, N; Malmendier, U, 2022"